ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
urate,,urate,urate.urate_1.Heavy,210.7133169,,172,Unit,128,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
urate,,urate,urate.urate_1.Light,210.7133169,,167,Unit,124,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
urate,,urate,urate.urate_2.Light,210.7133169,,167,Unit,42,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gthrd,,gthrd,gthrd.gthrd_1.Heavy,235.1811326,,316,Unit,148,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gthrd,,gthrd,gthrd.gthrd_1.Light,235.2949401,,306,Unit,143,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gthrd,,gthrd,gthrd.gthrd_2.Light,235.2949401,,306,Unit,272,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
nad,,nad,nad.nad_1.Heavy,278.6287724,,683,Unit,555,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
nad,,nad,nad.nad_1.Light,278.7245467,,662,Unit,540,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
nad,,nad,nad.nad_2.Light,278.7245467,,662,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
pyr,,pyr,pyr.pyr_1.Heavy,283.1701597,,90,Unit,45,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
pyr,,pyr,pyr.pyr_1.Light,283.4818588,,87,Unit,43,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
pyr,,pyr,pyr.pyr_2.Light,283.4818588,,87,Unit,32,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
g3p,,g3p,g3p.g3p_1.Heavy,400.2,,172.001,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
g3p,,g3p,g3p.g3p_1.Light,400.2,,169.001,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
g3p,,g3p,g3p.g3p_2.Light,405.6,,169.001,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
g6p,,g6p,g6p.g6p_1.Heavy,401.8487229,,265,Unit,203,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
g6p,,g6p,g6p.g6p_1.Light,401.5695846,,259,Unit,199,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
g6p,,g6p,g6p.g6p_2.Heavy,401.8487229,,265,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,2,FALSE,FALSE,TRUE
g6p,,g6p,g6p.g6p_2.Light,401.5695846,,259,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
r5p,,r5p,r5p.r5p_1.Heavy,402.7394752,,234,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
r5p,,r5p,r5p.r5p_1.Light,402.3816433,,229,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
r5p,,r5p,r5p.r5p_2.Light,402.3816433,,229,Unit,139,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
f6p,,f6p,f6p.f6p_1.Heavy,433.4326558,,265.001,Unit,172,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
f6p,,f6p,f6p.f6p_1.Light,433.4326558,,259.001,Unit,169,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
f6p,,f6p,f6p.f6p_2.Light,433.4326558,,259.001,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
s7p,,s7p,s7p.s7p_1.Heavy,434.2787338,,296,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
s7p,,s7p,s7p.s7p_1.Light,433.3579619,,289,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
s7p,,s7p,s7p.s7p_2.Light,433.3579619,,289,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
glyc3p,,glyc3p,glyc3p.glyc3p_1.Heavy,440.8124113,,174,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
glyc3p,,glyc3p,glyc3p.glyc3p_1.Light,440.8672561,,171,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
glyc3p,,glyc3p,glyc3p.glyc3p_2.Light,440.8672561,,171,Unit,63,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
g1p,,g1p,g1p.g1p_1.Heavy,471.8161414,,265.002,Unit,247,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
g1p,,g1p,g1p.g1p_1.Light,471.8161414,,259.002,Unit,241,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
g1p,,g1p,g1p.g1p_2.Light,471.8161414,,259.002,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
ru5p-D,,ru5p-D,ru5p-D.ru5p-D_1.Heavy,504.4573988,,234.001,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ru5p-D,,ru5p-D,ru5p-D.ru5p-D_1.Light,504.4573988,,229.001,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
