IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_symmetric_regression,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max
Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_1.Heavy,Hexose_Pool_fru_glc-D.Hexose_Pool_fru_glc-D_2.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
Lcystin.Lcystin_1.Heavy,Lcystin.Lcystin_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
thr-L.thr-L_1.Heavy,thr-L.thr-L_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
ala-L.ala-L_1.Heavy,ala-L.ala-L_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
ala-L.ala-L_1.Heavy,ala-L.ala-L_2.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
uri.uri_1.Heavy,cytd.cytd_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
ura.ura_1.Heavy,ura.ura_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
AICAr.AICAr_1.Heavy,AICAr.AICAr_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
met-L.met-L_1.Heavy,met-L.met-L_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
uri.uri_1.Heavy,uri.uri_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
uri.uri_1.Heavy,uri.uri_2.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
gua.gua_1.Heavy,gua.gua_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
hxan.hxan_1.Heavy,hxan.hxan_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
tyr-L.tyr-L_1.Heavy,tyr-L.tyr-L_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
tyr-L.tyr-L_1.Heavy,tyr-L.tyr-L_2.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
xan.xan_1.Heavy,xan.xan_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
ins.ins_1.Heavy,ins.ins_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
ins.ins_1.Heavy,ins.ins_2.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
gsn.gsn_1.Heavy,gsn.gsn_1.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
gsn.gsn_1.Heavy,gsn.gsn_2.Light,peak_apex_int,uM,,,,,,,linear,1,0,FALSE,ln(x),ln(y),-1.00E+15,1.00E+15,-1.00E+15,1.00E+15
