IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,actual_concentration,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max
,Citrate_466,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Citrate_467,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Citrate_468,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Citrate_469,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Citrate_470,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Citrate_471,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,Citrate_472,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,E4P_217,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,E4P_218,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,E4P_219,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,E4P_220,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,E4P_221,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_160,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_161,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_162,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_163,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_357,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_358,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_359,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_360,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_459,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_460,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_461,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_462,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_463,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_604,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_605,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_606,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_607,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_608,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_609,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,R5P_610,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_217,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_218,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_219,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_220,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_221,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_357,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_358,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_359,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_360,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_706,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_707,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_708,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_709,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_710,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_711,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_712,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,F6P_713,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_160,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_161,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_162,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_163,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_357,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_358,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_359,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_360,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_471,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_472,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_473,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_474,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_475,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_476,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_706,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
