File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/151.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	50 ug/ml ISO
Injection Number	89
Position	RC8
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:30:13 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.190596
Signal Max.	37.073029
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.646667	0.200	-0.979679
0.650000	0.200	-0.981794
0.653333	0.200	-0.983227
0.656667	0.200	-0.984589
0.660000	0.200	-0.986714
0.663333	0.200	-0.989792
0.666667	0.200	-0.993191
0.670000	0.200	-0.996099
0.673333	0.200	-0.998413
0.676667	0.200	-1.000603
0.680000	0.200	-1.002777
0.683333	0.200	-1.004688
0.686667	0.200	-1.006403
0.690000	0.200	-1.008138
0.693333	0.200	-1.009712
0.696667	0.200	-1.010867
0.700000	0.200	-1.011810
0.703333	0.200	-1.012700
0.706667	0.200	-1.013235
0.710000	0.200	-1.013311
0.713333	0.200	-1.013428
0.716667	0.200	-1.014234
0.720000	0.200	-1.015923
0.723333	0.200	-1.018146
0.726667	0.200	-1.020296
0.730000	0.200	-1.021882
0.733333	0.200	-1.022843
0.736667	0.200	-1.023524
0.740000	0.200	-1.024483
0.743333	0.200	-1.026181
0.746667	0.200	-1.028430
0.750000	0.200	-1.030297
0.753333	0.200	-1.030643
0.756667	0.200	-1.028904
0.760000	0.200	-1.025831
0.763333	0.200	-1.023160
0.766667	0.200	-1.022411
0.770000	0.200	-1.024314
0.773333	0.200	-1.028646
0.776667	0.200	-1.034093
0.780000	0.200	-1.038898
0.783333	0.200	-1.041969
0.786667	0.200	-1.043056
0.790000	0.200	-1.042312
0.793333	0.200	-1.040450
0.796667	0.200	-1.039018
