File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/874.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	2,5 ug/ml ISO
Injection Number	85
Position	RC4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	6:43:34 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.395324
Signal Max.	32.990598
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
2.516667	0.200	-0.889112
2.520000	0.200	-0.889981
2.523333	0.200	-0.890278
2.526667	0.200	-0.889787
2.530000	0.200	-0.888435
2.533333	0.200	-0.886540
2.536667	0.200	-0.884934
2.540000	0.200	-0.884293
2.543333	0.200	-0.884395
2.546667	0.200	-0.884504
2.550000	0.200	-0.884362
2.553333	0.200	-0.884302
2.556667	0.200	-0.884505
2.560000	0.200	-0.884629
2.563333	0.200	-0.884317
2.566667	0.200	-0.883579
2.570000	0.200	-0.882417
2.573333	0.200	-0.880676
2.576667	0.200	-0.878311
2.580000	0.200	-0.875541
2.583333	0.200	-0.872974
2.586667	0.200	-0.871233
2.590000	0.200	-0.870438
2.593333	0.200	-0.870476
2.596667	0.200	-0.871201
2.600000	0.200	-0.872263
2.603333	0.200	-0.873220
2.606667	0.200	-0.873596
2.610000	0.200	-0.872959
2.613333	0.200	-0.871258
2.616667	0.200	-0.868951
2.620000	0.200	-0.866703
2.623333	0.200	-0.865008
2.626667	0.200	-0.863997
2.630000	0.200	-0.863527
2.633333	0.200	-0.863266
2.636667	0.200	-0.862679
2.640000	0.200	-0.861469
2.643333	0.200	-0.860171
2.646667	0.200	-0.859877
2.650000	0.200	-0.861132
2.653333	0.200	-0.863176
2.656667	0.200	-0.864587
2.660000	0.200	-0.864734
2.663333	0.200	-0.864239
2.666667	0.200	-0.863998
2.670000	0.200	-0.864150
2.673333	0.200	-0.864102
2.676667	0.200	-0.863309
2.680000	0.200	-0.861768
2.683333	0.200	-0.859965
2.686667	0.200	-0.858581
2.690000	0.200	-0.858115
2.693333	0.200	-0.858835
2.696667	0.200	-0.860800
2.700000	0.200	-0.863447
2.703333	0.200	-0.865568
2.706667	0.200	-0.866202
2.710000	0.200	-0.865253
2.713333	0.200	-0.862937
2.716667	0.200	-0.859350
2.720000	0.200	-0.855050
2.723333	0.200	-0.851162
2.726667	0.200	-0.848620
2.730000	0.200	-0.847807
2.733333	0.200	-0.848621
2.736667	0.200	-0.850521
2.740000	0.200	-0.852730
2.743333	0.200	-0.854480
2.746667	0.200	-0.855240
2.750000	0.200	-0.854965
