File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/846.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	500 ug/ml HIGH ISO
Injection Number	92
Position	RC11
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:05:11 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.923986
Signal Max.	185.985748
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.910000	0.200	-0.006175
0.913333	0.200	0.070007
0.916667	0.200	0.120261
0.920000	0.200	0.142242
0.923333	0.200	0.136810
0.926667	0.200	0.107936
0.930000	0.200	0.061946
0.933333	0.200	0.006222
0.936667	0.200	-0.052274
0.940000	0.200	-0.107908
0.943333	0.200	-0.155977
0.946667	0.200	-0.191758
0.950000	0.200	-0.210623
0.953333	0.200	-0.209457
0.956667	0.200	-0.188383
0.960000	0.200	-0.151833
0.963333	0.200	-0.108098
0.966667	0.200	-0.066539
0.970000	0.200	-0.032517
0.973333	0.200	-0.001023
0.976667	0.200	0.048499
0.980000	0.200	0.150384
0.983333	0.200	0.338426
0.986667	0.200	0.622189
0.990000	0.200	0.968360
0.993333	0.200	1.303390
0.996667	0.200	1.540636
1.000000	0.200	1.616712
1.003333	0.200	1.515488
1.006667	0.200	1.268730
1.010000	0.200	0.937520
1.013333	0.200	0.587560
1.016667	0.200	0.270121
1.020000	0.200	0.013355
1.023333	0.200	-0.176431
1.026667	0.200	-0.307417
1.030000	0.200	-0.394331
1.033333	0.200	-0.452526
1.036667	0.200	-0.494228
1.040000	0.200	-0.527164
1.043333	0.200	-0.555090
1.046667	0.200	-0.578998
1.050000	0.200	-0.598321
1.053333	0.200	-0.611982
1.056667	0.200	-0.618738
1.060000	0.200	-0.616748
1.063333	0.200	-0.602854
1.066667	0.200	-0.571304
1.070000	0.200	-0.511197
1.073333	0.200	-0.402585
1.076667	0.200	-0.210862
1.080000	0.200	0.121097
1.083333	0.200	0.681137
1.086667	0.200	1.591481
1.090000	0.200	3.001306
1.093333	0.200	5.061165
1.096667	0.200	7.875926
1.100000	0.200	11.443710
1.103333	0.200	15.603569
1.106667	0.200	20.022437
1.110000	0.200	24.240204
1.113333	0.200	27.765676
1.116667	0.200	30.192164
