File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/725.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	5000 ug/ml HIGH
Injection Number	96
Position	RB6
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:51:56 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.994987
Signal Max.	1,453.496068
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.476667	0.200	-0.972943
1.480000	0.200	-0.971602
1.483333	0.200	-0.969854
1.486667	0.200	-0.967779
1.490000	0.200	-0.965784
1.493333	0.200	-0.964043
1.496667	0.200	-0.962223
1.500000	0.200	-0.959991
1.503333	0.200	-0.957211
1.506667	0.200	-0.953724
1.510000	0.200	-0.949452
1.513333	0.200	-0.944604
1.516667	0.200	-0.939660
1.520000	0.200	-0.935188
1.523333	0.200	-0.931432
1.526667	0.200	-0.928207
1.530000	0.200	-0.925403
1.533333	0.200	-0.923190
1.536667	0.200	-0.921549
1.540000	0.200	-0.920103
1.543333	0.200	-0.918779
1.546667	0.200	-0.918071
1.550000	0.200	-0.918378
1.553333	0.200	-0.919474
1.556667	0.200	-0.920615
1.560000	0.200	-0.921143
1.563333	0.200	-0.920870
1.566667	0.200	-0.919856
1.570000	0.200	-0.918454
1.573333	0.200	-0.917713
1.576667	0.200	-0.918838
1.580000	0.200	-0.921891
1.583333	0.200	-0.925482
1.586667	0.200	-0.927997
1.590000	0.200	-0.929010
1.593333	0.200	-0.929327
1.596667	0.200	-0.929846
1.600000	0.200	-0.930880
1.603333	0.200	-0.932470
1.606667	0.200	-0.934663
1.610000	0.200	-0.937372
1.613333	0.200	-0.940407
1.616667	0.200	-0.943638
1.620000	0.200	-0.946884
1.623333	0.200	-0.950054
1.626667	0.200	-0.953601
1.630000	0.200	-0.958059
1.633333	0.200	-0.963079
1.636667	0.200	-0.967442
1.640000	0.200	-0.970063
1.643333	0.200	-0.971027
1.646667	0.200	-0.971491
1.650000	0.200	-0.972341
1.653333	0.200	-0.973423
1.656667	0.200	-0.974310
1.660000	0.200	-0.974977
1.663333	0.200	-0.975466
1.666667	0.200	-0.975728
1.670000	0.200	-0.976073
1.673333	0.200	-0.977159
1.676667	0.200	-0.979313
1.680000	0.200	-0.982049
1.683333	0.200	-0.984447
1.686667	0.200	-0.985897
1.690000	0.200	-0.986206
1.693333	0.200	-0.985397
1.696667	0.200	-0.983901
1.700000	0.200	-0.982354
