ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
HMDB:HMDB0040966,,HMDB:HMDB0040966,,0,,110.1095504,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0004230,,HMDB:HMDB0004230,,0,,111.0320284,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000630,,HMDB:HMDB0000630,,0,,111.0432618,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031163,,HMDB:HMDB0031163,,0,,111.0684139,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000870,,HMDB:HMDB0000870,,0,,111.0796473,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0015106,,HMDB:HMDB0015106,,0,,111.8885925,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0060333,,HMDB:HMDB0060333,,0,,111.9482701,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0061711,,HMDB:HMDB0061711,,0,,111.9925452,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0029717,,HMDB:HMDB0029717,,0,,111.9982854,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0041855,,HMDB:HMDB0041855,,0,,112.0079779,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000444,,HMDB:HMDB0000444,,0,,112.016044,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000300,,HMDB:HMDB0000300,,0,,112.0272774,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0032977,,HMDB:HMDB0032977,,0,,112.0346709,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0001164,,HMDB:HMDB0001164,,0,,112.0524295,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031483,,HMDB:HMDB0031483,,0,,112.088815,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0032449,,HMDB:HMDB0032449,,0,,112.1252005,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0032974,,HMDB:HMDB0032974,,0,,113.0299199,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0001301,,HMDB:HMDB0001301,,0,,113.0476785,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0000562,,HMDB:HMDB0000562,,0,,113.0589119,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0031199,,HMDB:HMDB0031199,,0,,113.084064,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
HMDB:HMDB0003638,,HMDB:HMDB0003638,,0,,113.9033581,5 ppm,0,5 ppm,,,,,1,0,,Light,1,1,,1,FALSE,FALSE,FALSE
