File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/952.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA4
Injection Number	25
Position	GA4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:03:21 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.882378
Signal Max.	246.138505
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.086667	0.200	9.533064
1.090000	0.200	10.731776
1.093333	0.200	11.750537
1.096667	0.200	12.493558
1.100000	0.200	12.923926
1.103333	0.200	13.082860
1.106667	0.200	13.086385
1.110000	0.200	13.096391
1.113333	0.200	13.272036
1.116667	0.200	13.717751
1.120000	0.200	14.449878
1.123333	0.200	15.398178
1.126667	0.200	16.441690
1.130000	0.200	17.459295
1.133333	0.200	18.367282
1.136667	0.200	19.125649
1.140000	0.200	19.714536
1.143333	0.200	20.099877
1.146667	0.200	20.214212
1.150000	0.200	19.969403
1.153333	0.200	19.295871
1.156667	0.200	18.185432
1.160000	0.200	16.714499
1.163333	0.200	15.034620
1.166667	0.200	13.332011
1.170000	0.200	11.774413
1.173333	0.200	10.468885
1.176667	0.200	9.444797
1.180000	0.200	8.663473
1.183333	0.200	8.046069
1.186667	0.200	7.506234
1.190000	0.200	6.976071
1.193333	0.200	6.420591
1.196667	0.200	5.841524
1.200000	0.200	5.273072
1.203333	0.200	4.772236
1.206667	0.200	4.405985
1.210000	0.200	4.235909
1.213333	0.200	4.300375
1.216667	0.200	4.597021
1.220000	0.200	5.071941
1.223333	0.200	5.622634
1.226667	0.200	6.118179
1.230000	0.200	6.432983
1.233333	0.200	6.482430
1.236667	0.200	6.246022
1.240000	0.200	5.770015
1.243333	0.200	5.151969
1.246667	0.200	4.515062
1.250000	0.200	3.979638
1.253333	0.200	3.638547
1.256667	0.200	3.540717
1.260000	0.200	3.684353
1.263333	0.200	4.022285
1.266667	0.200	4.483862
1.270000	0.200	5.011879
1.273333	0.200	5.604921
1.276667	0.200	6.351281
1.280000	0.200	7.430448
1.283333	0.200	9.047892
1.286667	0.200	11.298912
1.290000	0.200	14.029360
1.293333	0.200	16.800445
1.296667	0.200	19.012525
1.300000	0.200	20.133957
1.303333	0.200	19.907493
1.306667	0.200	18.426783
1.310000	0.200	16.063131
